repo,tier,pr_number,title,author,merged_at,additions,deletions,lines_changed,size_bucket,files_count,specd,spec_source,classification,ci_status,review_modified,escaped,review_cycles,time_to_merge_hours,approval_mechanism,workflow_type,reworked,rework_type,q_overall,q_outcome_clarity,q_error_states,q_scope_boundaries,q_acceptance_criteria,q_data_contracts,q_dependency_context,q_behavioral_specificity,q_change_type,q_spec_length_signal,strict_escaped,f_is_bot_author,f_ai_tagged,f_typos,f_casual,f_questions,f_fp_experience,f_fp_action,f_human_mentions,f_history,f_people_context,f_external_context,f_incidents,f_has_org_context,f_negations,f_causal_chains,f_specific_edges,f_generic_edges,f_edge_ratio,f_tradeoffs,f_domain_grounding,f_templates,f_slop,f_empty_sections,f_issue_refs,f_any_issue_refs,f_body_len,f_word_count,f_sent_len_mean,f_sent_len_std,f_type_token_ratio,f_avg_word_len,f_human_signals,f_org_context_signals,f_reasoning_signals,f_anti_signals,f_perplexity,formality_lived_experience,formality_organizational_memory,formality_uncertainty,formality_negative_scope,formality_causal_reasoning,formality_genuine_edge_cases,formality_template_filler,formality_overall,formality_classification,fev_lived_experience,fev_organizational_memory,fev_uncertainty,fev_causal_reasoning,ai_probability,szz_bug_introducing,szz_fix_count
rust-lang/rust,B,154390,Rollup of 3 pull requests,JonathanBrouwer,2026-03-26T05:29:09+00:00,94,34,128,medium,6,False,,pending,clean_pass,False,False,0,6.1,no_review,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
rust-lang/rust,B,154386,Migrate UI tests,ujjwalvishwakarma2006,2026-03-26T05:29:09+00:00,2,0,2,small,2,False,,pending,clean_pass,False,False,0,9.1,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
rust-lang/rust,B,154384,Rollup of 22 pull requests,JonathanBrouwer,2026-03-25T23:13:16+00:00,1888,1780,3668,large,100,False,,pending,clean_pass,False,False,0,4.3,no_review,mixed,True,alignment,,,,,,,,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1939.0,180.0,90.0,82.0,0.578,5.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,0.549,False,0
rust-lang/rust,B,154366,Subtree sync for rustc_codegen_cranelift,bjorn3,2026-03-25T20:01:15+00:00,388,215,603,large,21,False,,pending,clean_pass,False,False,0,9.2,no_review,mixed,False,,,,,,,,,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,26.0,12.5,5.5,0.958,4.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0305,False,0
rust-lang/rust,B,154364,"delegation: don't propagate synthetic params, remove lifetime hacks",aerooneqq,2026-03-25T23:13:17+00:00,66,23,89,small,5,False,,pending,clean_pass,False,False,0,13.3,self_approved,mixed,False,,,,,,,,,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,297.0,41.0,18.5,15.5,0.8,4.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.1128,False,0
rust-lang/rust,B,154363,delegation: fix zero-args nested delegation ICE,aerooneqq,2026-03-25T23:13:16+00:00,105,6,111,medium,6,False,,pending,clean_pass,False,False,0,14.0,no_review,mixed,False,,,,,,,,,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,422.0,68.0,21.3,13.3,0.735,4.6,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,0.0944,False,0
rust-lang/rust,B,154360,fromrangeiter-overflow-checks: accept optional `signext` for argument,heiher,2026-03-25T23:13:16+00:00,1,1,2,small,1,False,,pending,clean_pass,False,False,0,14.2,approve_only,mixed,False,,,,,,,,,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,70.0,23.3,2.6,0.721,5.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.2984,False,0
rust-lang/rust,B,154359,Add regression test for #154189,TaKO8Ki,2026-03-26T05:29:09+00:00,50,0,50,small,2,False,,pending,clean_pass,False,False,0,21.6,no_review,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0
rust-lang/rust,B,154358,install-template.sh: Optimize by using Bourne shell builtins.,he32,2026-03-25T23:13:16+00:00,4,4,8,small,1,False,,pending,clean_pass,False,False,0,15.5,approve_only,mixed,False,,,,,,,,,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,30.0,15.0,9.0,0.838,5.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.1808,False,0
rust-lang/rust,B,154355,delegation: add const type ICE test,aerooneqq,2026-03-25T23:13:16+00:00,11,0,11,small,1,False,,pending,clean_pass,False,False,0,16.7,no_review,mixed,False,,,,,,,,,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,4.0,165.0,18.0,7.0,4.0,0.6,4.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,0.1195,False,0
rust-lang/rust,B,154351,Overhaul `Erasable` impls,nnethercote,2026-03-25T23:13:16+00:00,68,294,362,medium,1,False,,pending,clean_pass,False,False,0,17.9,no_review,mixed,False,,,,,,,,,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,35.0,16.5,4.5,0.771,4.7,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.1128,False,0
